Mixture	Cell_Type	Percentage	dist_cat_n	scat_adj
Control	LAMP5	0.079839493	1	-0.2
Control	LAMP5	0.071336888	1	-0.2
Control	LAMP5	0.065555596	1	-0.2
Control	LAMP5	0.081888953	1	-0.2
Control	LAMP5	0.065937422	1	-0.2
Control	LAMP5	0.054484471	1	-0.2
Control	LAMP5	0.01094452	1	-0.2
Control	LAMP5	0.067997747	1	-0.2
Control	LAMP5	0.065132181	1	-0.2
Control	LAMP5	0.062439733	1	-0.2
Control	LAMP5	0.072875531	1	-0.2
Control	LAMP5	0.076426418	1	-0.2
Control	LAMP5	0.060678151	1	-0.2
Control	LAMP5	0.09246544	1	-0.2
Control	LAMP5	0.056477615	1	-0.2
Control	LAMP5	0.050817012	1	-0.2
Control	LAMP5	0.083585264	1	-0.2
Control	LAMP5	0.084450362	1	-0.2
Control	LAMP5	0.073107826	1	-0.2
Control	LAMP5	0.061288475	1	-0.2
Control	LAMP5	0.071897585	1	-0.2
Control	LAMP5	0.05892861	1	-0.2
Control	LAMP5	0.065641472	1	-0.2
Control	LAMP5	0.074391538	1	-0.2
Control	LAMP5	0.070913962	1	-0.2
Control	LAMP5	0.069374702	1	-0.2
Control	LAMP5	0.076478437	1	-0.2
Control	LAMP5	0.064016224	1	-0.2
Control	LAMP5	0.070233359	1	-0.2
Control	LAMP5	0.084778071	1	-0.2
Control	LAMP5	0.078376954	1	-0.2
Control	LAMP5	0.083471716	1	-0.2
Control	LAMP5	0.084272466	1	-0.2
Control	LAMP5	0.086823469	1	-0.2
Control	LAMP5	0.084967421	1	-0.2
Control	LAMP5	0.070544329	1	-0.2
Control	LAMP5	0.076237855	1	-0.2
Control	LAMP5	0.079281157	1	-0.2
Control	LAMP5	0.084051115	1	-0.2
Control	LAMP5	0.03472363	1	-0.2
Control	LAMP5	0.068964461	1	-0.2
Control	LAMP5	0.045928375	1	-0.2
Control	LAMP5	0.076314776	1	-0.2
Control	LAMP5	0.070834827	1	-0.2
Control	LAMP5	0.074315243	1	-0.2
Control	LAMP5	0.07350419	1	-0.2
Control	LAMP5	0.0795935	1	-0.2
Control	LAMP5	0.083446115	1	-0.2
Control	LAMP5	0.050151653	1	-0.2
Control	LAMP5	0.082045725	1	-0.2
Control	LAMP5	0.059042406	1	-0.2
Control	LAMP5	0.060018912	1	-0.2
Control	LAMP5	0.068498776	1	-0.2
Control	LAMP5	0.045328065	1	-0.2
Control	LAMP5	0.053016022	1	-0.2
Control	LAMP5	0.062311117	1	-0.2
Control	LAMP5	0.069851112	1	-0.2
Control	LAMP5	0.070526707	1	-0.2
Control	LAMP5	0.059822111	1	-0.2
Control	LAMP5	0.072021326	1	-0.2
Control	LAMP5	0.046468406	1	-0.2
Control	LAMP5	0.066902238	1	-0.2
Control	LAMP5	0.067930192	1	-0.2
Control	LAMP5	0.067412354	1	-0.2
Control	LAMP5	0.067363591	1	-0.2
Control	LAMP5	0.056937094	1	-0.2
Control	LAMP5	0.070573109	1	-0.2
Control	LAMP5	0.069389966	1	-0.2
Control	LAMP5	0.074807854	1	-0.2
Control	LAMP5	0.065758871	1	-0.2
Control	LAMP5	0.080770405	1	-0.2
Control	LAMP5	0.05471296	1	-0.2
Control	LAMP5	0.095550808	1	-0.2
Control	LAMP5	0.052645814	1	-0.2
Control	LAMP5	0.060079113	1	-0.2
Control	LAMP5	0.069670304	1	-0.2
Control	LAMP5	0.075761068	1	-0.2
Control	LAMP5	0.066135932	1	-0.2
Control	LAMP5	0.04753454	1	-0.2
Control	LAMP5	0.083089964	1	-0.2
Control	LAMP5	0.073964558	1	-0.2
Control	LAMP5	0.071891916	1	-0.2
Control	LAMP5	0.071908201	1	-0.2
Control	LAMP5	0.007599756	1	-0.2
Control	LAMP5	0.056641085	1	-0.2
Control	LAMP5	0.067568365	1	-0.2
Control	LAMP5	0.080594007	1	-0.2
Control	LAMP5	0.066663915	1	-0.2
Control	LAMP5	0.068557491	1	-0.2
Control	LAMP5	0.078373204	1	-0.2
Control	LAMP5	0.075075833	1	-0.2
Control	LAMP5	0.07107719	1	-0.2
Control	LAMP5	0.08608699	1	-0.2
Control	LAMP5	0.080884573	1	-0.2
Control	LAMP5	0.042533078	1	-0.2
Control	LAMP5	0.048000779	1	-0.2
Control	LAMP5	0.053103004	1	-0.2
Control	LAMP5	0.061381139	1	-0.2
Control	LAMP5	0.072919514	1	-0.2
Control	LAMP5	0.017473632	1	-0.2
Control	LAMP5	0.063650577	1	-0.2
Control	LAMP5	0.063001132	1	-0.2
Control	LAMP5	0.067611643	1	-0.2
Control	LAMP5	0.052608028	1	-0.2
Control	LAMP5	0.073378828	1	-0.2
Control	LAMP5	0.060561392	1	-0.2
Control	LAMP5	0.069634577	1	-0.2
Control	LAMP5	0.089144192	1	-0.2
Control	LAMP5	0.0745732	1	-0.2
Control	LAMP5	0.048884063	1	-0.2
Control	LAMP5	0.071913977	1	-0.2
Control	LAMP5	0.061222775	1	-0.2
Control	LAMP5	0.073132302	1	-0.2
Control	LAMP5	0.051113213	1	-0.2
Control	LAMP5	0.056825229	1	-0.2
Control	LAMP5	0.07489029	1	-0.2
Control	LAMP5	0.060001722	1	-0.2
Control	LAMP5	0.018738644	1	-0.2
Control	LAMP5	0.062907598	1	-0.2
Control	LAMP5	0.072860675	1	-0.2
Control	LAMP5	0.065779299	1	-0.2
Control	LAMP5	0.057067082	1	-0.2
Control	LAMP5	0.067626841	1	-0.2
Control	LAMP5	0.076787563	1	-0.2
Control	LAMP5	0.022911152	1	-0.2
Control	LAMP5	0.077131634	1	-0.2
Control	LAMP5	0.086887961	1	-0.2
Control	LAMP5	0.07171102	1	-0.2
Control	LAMP5	0.060347569	1	-0.2
Control	LAMP5	0.077343214	1	-0.2
Control	LAMP5	0.080284693	1	-0.2
Control	LAMP5	0.086147367	1	-0.2
Control	LAMP5	0.063807627	1	-0.2
Control	LAMP5	0.04126615	1	-0.2
Control	LAMP5	0.079932488	1	-0.2
Control	LAMP5	0.079502612	1	-0.2
Control	LAMP5	0.061736401	1	-0.2
Control	LAMP5	0.066135238	1	-0.2
