Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
A2M	8.417064811	12.26503766	9.135157051	87.19963697	84.11036094	14.35299624	29.5571257	14.29149117	8.451368577	58.7523748	116.39821	17.28826481	9.093578514	2150.098129	13.94821139	100.2252934	4780.743866	12.15089411	1
AACS	9.218617196	1	5.09292153	1	1	18.96472607	118.2632761	18.04458246	12.26503766	42.97739917	1	17.65451471	8.421363088	1	85.84039729	1	1	66.61634727	1
AASS	1	1	1	216.3323632	334.4591085	1	28.3179544	1	1	1	202.406305	1	1	1	1	94.08850108	139.3003457	1	183.6998584
AATF	1	1	1	33.19641479	1	8.664457625	5.151186064	8.13761171	1	7.469527694	1	3.979930886	1	1	5.12412408	1	1	12.98170448	234.4517802
ABCA1	1	8.484753	12.75853383	1	141.7987287	1	1	1	1	1	105.8457614	1	12.01980728	1	1	1	1	1	514.4000833
ABCA10	87.80935874	80.24230338	115.0464917	1	1	77.41023302	187.5069961	113.6611238	186.795028	98.80963546	1	33.92931495	170.3269593	1	135.0483261	183.6998584	1	196.0408042	2150.098129
ABCA2	1	1	1	386.2349647	1	1.531377522	2.456601087	2.796798296	1	3.465892518	1	2.103698479	1	1	1	1	1	2.946602803	1
ABCA8	1	1	1	850.6561661	1	1	1	1	1	1	1	1	1	1	1	92.42485406	1	1	1258.681835
ABCA9	13.71778349	13.19899136	13.94821139	1	1	13.86054144	122.0898795	73.81986407	72.2733512	18.82293702	1	12.46775079	112.6585213	1	87.00717869	506.6149367	1	100.6969845	3059.713908
ABCB1	1	1	1	1	1	1	1	1	1	103.1919233	1	1	1	1	2.093505048	66.0116816	5432.37129	1	1
ABCB5	1	1	13.87886655	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC1	35.90257348	12.16526896	12.49257841	1	1	1.557341037	8.732261965	4.156999519	8.829954791	8.554105514	1	2.885243295	7.624482759	1	5.066939708	1	1	7.743638793	1
ABCC12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.25724018	1	1	1	1
ABCC3	1	1	1	1	1	32.98926297	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC4	1	1	1	1	18.78554868	1	13.97583905	1	1	4.122366638	1	12.20291188	1	984.7167089	1	1	87.66614502	1	1
