	L6_CT	VIP	L5_ET	L4_IT	L5/6_NP	IT	PAX6	LAMP5	SST	PVALB	Astrocyte	OPC	Pericyte	Microglia	VLMC	Endothelial	Oligodendrocyte
L6_CT	-2	-1.774690718	-2	-1.671620397	-1.554395797	-1.623423043	-1.616184634	-1.649751982	-1.602059991	-1.950781977	-1.153662888	-1.665546249	-1.131943638	-2	-2	-1.289036881	-1.333482019
VIP	-1.774690718	-2	-2	-1.91721463	-1.756961951	-1.826813732	-1.779891912	-1.899629455	-1.782516056	-2	-2	-2	-2	-1.634512015	-2	-1.701146924	-1.725842151
L5_ET	-2	-2	-2	-1.692503962	-1.749579998	-1.705533774	-1.928117993	-1.716698771	-1.772113295	-1.978810701	-2	-1.723538196	-1.847711656	-1.752026734	-2	-1.485452247	-1.723538196
L4_IT	-1.671620397	-1.91721463	-1.692503962	-2	-1.46470588	-1.462180905	-1.632644079	-1.377785977	-1.567030709	-1.725842151	-1.610833916	-1.906578315	-1.539102157	-2	-2	-1.698970004	-1.514278574
L5/6_NP	-1.554395797	-1.756961951	-1.749579998	-1.46470588	-2	-1.381951903	-1.425968732	-1.524328812	-1.441291429	-1.832682665	-1.645891561	-1.605548319	-1.512861625	-1.8569852	-1.853871964	-1.389339837	-1.406713933
IT	-1.623423043	-1.826813732	-1.705533774	-1.462180905	-1.381951903	-2	-1.469800302	-1.585026652	-1.508638306	-1.522878745	-1.578396073	-1.928117993	-1.585026652	-2	-1.872895202	-1.472370099	-1.511449283
PAX6	-1.616184634	-1.779891912	-1.928117993	-1.632644079	-1.425968732	-1.469800302	-2	-1.610833916	-1.53165267	-1.785156152	-2	-1.694648631	-1.651695137	-1.910094889	-1.829738285	-1.540607512	-1.609064893
LAMP5	-1.649751982	-1.899629455	-1.716698771	-1.377785977	-1.524328812	-1.585026652	-1.610833916	-2	-1.438898616	-1.37161107	-1.698970004	-1.89279003	-1.643974143	-2	-1.943095149	-1.554395797	-1.63638802
SST	-1.602059991	-1.782516056	-1.772113295	-1.567030709	-1.441291429	-1.508638306	-1.53165267	-1.438898616	-2	-1.655607726	-1.701146924	-1.804100348	-1.527243551	-1.946921557	-1.943095149	-1.517126416	-1.562249437
PVALB	-1.950781977	-2	-1.978810701	-1.725842151	-1.832682665	-1.522878745	-1.785156152	-1.37161107	-1.655607726	-2	-2	-1.974694135	-1.974694135	-2	-2	-1.974694135	-1.91721463
Astrocyte	-1.153662888	-2	-2	-1.610833916	-1.645891561	-1.578396073	-2	-1.698970004	-1.701146924	-2	-2	-2	-1.060980224	-2	-2	-1.621602099	-1.407823243
OPC	-1.665546249	-2	-1.723538196	-1.906578315	-1.605548319	-1.928117993	-1.694648631	-1.89279003	-1.804100348	-1.974694135	-2	-2	-1.145693958	-2	-2	-1.619788758	-1.76700389
Pericyte	-1.131943638	-2	-1.847711656	-1.539102157	-1.512861625	-1.585026652	-1.651695137	-1.643974143	-1.527243551	-1.974694135	-1.060980224	-1.145693958	-2	-2	-2	-0.809948582	-1.511449283
Microglia	-2	-1.634512015	-1.752026734	-2	-1.8569852	-2	-1.910094889	-2	-1.946921557	-2	-2	-2	-2	-2	-2	-2	-2
VLMC	-2	-2	-2	-2	-1.853871964	-1.872895202	-1.829738285	-1.943095149	-1.943095149	-2	-2	-2	-2	-2	-2	-1.798602876	-1.779891912
Endothelial	-1.289036881	-1.701146924	-1.485452247	-1.698970004	-1.389339837	-1.472370099	-1.540607512	-1.554395797	-1.517126416	-1.974694135	-1.621602099	-1.619788758	-0.809948582	-2	-1.798602876	-2	-1.214670165
Oligodendrocyte	-1.333482019	-1.725842151	-1.723538196	-1.514278574	-1.406713933	-1.511449283	-1.609064893	-1.63638802	-1.562249437	-1.91721463	-1.407823243	-1.76700389	-1.511449283	-2	-1.779891912	-1.214670165	-2
